inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trialsc.thisRepN,trialsc.thisTrialN,trialsc.thisN,trialsc.thisIndex,trialsc.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,calibrationClick.clicked_name,ScreenRes_pixels,Camera_pixels,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Choice,Trial,TrialDuration,MOUSE_GAZE,ET_GAZE,ET_GAZE_x_T,time,unixTime,ET_GAZE_NF,Loc_Bus_label,Loc_Metro_label,Loc_RH_label,Loc_Cost_label,Loc_Travel_label,Loc_Comfort_label,Loc_Bus_cost,Loc_Metro_cost,Loc_RH_cost,Loc_Bus_travel,Loc_Metro_travel,Loc_RH_travel,Loc_Bus_comfort,Loc_Metro_comfort,Loc_RH_comfort,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Block,Device,RH_cost,RH_travel_time,RH_Comfort,metro_cost,metro_travel_time,metro_Comfort,Bus_cost,Bus_travel_time,Bus_Comfort
,,,,,,,-0.328125,-0.674074074,1,0,0,0,10,10,4,1,-0.33,-0.67,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.003125,0.011111111,1,0,0,0,11,11,11,1,0,0,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.333333333,-0.32037037,1,0,0,0,12,12,5,1,-0.33,-0.33,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.327083333,0.011111111,1,0,0,0,13,13,6,1,-0.33,0,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.673958333,0.324074074,1,0,0,0,14,14,3,1,-0.67,0.33,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.667708333,-0.666666667,1,0,0,0,15,15,20,1,0.67,-0.67,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.329166667,0.333333333,1,0,0,0,16,16,17,1,0.33,0.33,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.328125,-0.666666667,1,0,0,0,17,17,14,1,0.33,-0.67,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.66875,-0.333333333,1,0,0,0,18,18,1,1,-0.67,-0.33,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.669791667,-0.672222222,1,0,0,0,19,19,0,1,-0.67,-0.67,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.334375,-0.322222222,1,0,0,0,20,20,15,1,0.33,-0.33,43,001,2024-11-21_14h09.31.980,Attention_exp_legacy,2023.1.0,Win32,59.17159763,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
