inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trialsc.thisRepN,trialsc.thisTrialN,trialsc.thisN,trialsc.thisIndex,trialsc.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,ScreenRes_pixels,Camera_pixels,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Choice,Trial,TrialDuration,MOUSE_GAZE,ET_GAZE,ET_GAZE_x_T,time,unixTime,ET_GAZE_NF,Loc_Bus_label,Loc_Metro_label,Loc_RH_label,Loc_Cost_label,Loc_Travel_label,Loc_Comfort_label,Loc_Bus_cost,Loc_Metro_cost,Loc_RH_cost,Loc_Bus_travel,Loc_Metro_travel,Loc_RH_travel,Loc_Bus_comfort,Loc_Metro_comfort,Loc_RH_comfort,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Block,Device,RH_cost,RH_travel_time,RH_Comfort,metro_cost,metro_travel_time,metro_Comfort,Bus_cost,Bus_travel_time,Bus_Comfort
space,7.2215,0.059375,-0.164814815,1,0,0,-0.327083333,0.005555556,1,0,0,calibration_square,0,0,0,6,1,-0.33,0,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.323958333,0.666666667,1,0,0,calibration_square,0,1,1,8,1,-0.33,0.67,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.002083333,-0.003703704,1,0,0,calibration_square,0,2,2,11,1,0,0,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.332291667,-0.67962963,1,0,0,calibration_square,0,3,3,4,1,-0.33,-0.67,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.007291667,0.662962963,1,0,0,calibration_square,0,4,4,13,1,0,0.67,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.673958333,-0.668518519,1,0,0,calibration_square,0,5,5,0,1,-0.67,-0.67,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.34375,0.011111111,1,0,0,,0,6,6,16,1,0.33,0,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.328125,0.331481481,1,0,0,calibration_square,0,7,7,17,1,0.33,0.33,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.670833333,-0.67962963,1,0,0,calibration_square,0,8,8,20,1,0.67,-0.67,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.647916667,0.32037037,1,0,0,,0,9,9,3,1,-0.67,0.33,25,001,2024-11-20_13h01.36.739,Attention_exp_legacy,2023.1.0,Win32,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
