inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trialsc.thisRepN,trialsc.thisTrialN,trialsc.thisN,trialsc.thisIndex,trialsc.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,calibrationClick.clicked_name,ScreenRes_pixels,Camera_pixels,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Choice,Trial,TrialDuration,MOUSE_GAZE,ET_GAZE,ET_GAZE_x_T,time,unixTime,ET_GAZE_NF,Loc_Bus_label,Loc_Metro_label,Loc_RH_label,Loc_Cost_label,Loc_Travel_label,Loc_Comfort_label,Loc_Bus_cost,Loc_Metro_cost,Loc_RH_cost,Loc_Bus_travel,Loc_Metro_travel,Loc_RH_travel,Loc_Bus_comfort,Loc_Metro_comfort,Loc_RH_comfort,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Block,Device,RH_cost,RH_travel_time,RH_Comfort,metro_cost,metro_travel_time,metro_Comfort,Bus_cost,Bus_travel_time,Bus_Comfort
space,2.5152,-0.235416667,0.475925926,1,0,0,-0.303125,0.581481481,0,0,0,0,0,0,1,1,-0.67,-0.33,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.011458333,0.338888889,1,0,0,0,1,1,12,1,0,0.33,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.680208333,0.67037037,1,0,0,0,2,2,19,1,0.67,0.67,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.33125,-0.662962963,1,0,0,0,3,3,14,1,0.33,-0.67,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.675,-0.001851852,1,0,0,0,4,4,2,1,-0.67,0,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.327083333,-0.324074074,1,0,0,0,5,5,15,1,0.33,-0.33,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.334375,0.664814815,1,0,0,0,6,6,18,1,0.33,0.67,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.320833333,-0.32962963,1,0,0,0,7,7,5,1,-0.33,-0.33,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.664583333,-0.668518519,1,0,0,0,8,8,20,1,0.67,-0.67,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.004166667,-0.664814815,1,0,0,0,9,9,9,1,0,-0.67,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.008333333,-0.322222222,1,0,0,0,10,10,10,1,0,-0.33,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.330208333,0.005555556,1,0,0,0,11,11,16,1,0.33,0,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.336458333,0.005555556,1,0,0,0,12,12,6,1,-0.33,0,30,001,2024-11-21_12h25.08.828,Attention_exp_legacy,2023.1.0,Win32,59.52380952,calibration_square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
